"Location","String Value","String Representation","Data Type","Label","Is Ascii","Function Name"
"00400001","ELF","\"ELF\"","ds","","true",""
"00400134","/lib/ld-uClibc.so.0","\"/lib/ld-uClibc.so.0\"","ds","s_/lib/ld-uClibc.so.0_00400134","true",""
"00400bdd","libc.so.0","u8\"libc.so.0\"","utf8","","true",""
"00400be7","_DYNAMIC_LINKING","u8\"_DYNAMIC_LINKING\"","utf8","","true",""
"00400bf8","__RLD_MAP","u8\"__RLD_MAP\"","utf8","","true",""
"00400c02","putchar","u8\"putchar\"","utf8","","true",""
"00400c0a","strcpy","u8\"strcpy\"","utf8","","true",""
"00400c11","ioctl","u8\"ioctl\"","utf8","","true",""
"00400c17","cfgetospeed","u8\"cfgetospeed\"","utf8","","true",""
"00400c23","recv","u8\"recv\"","utf8","","true",""
"00400c28","connect","u8\"connect\"","utf8","","true",""
"00400c30","strerror","u8\"strerror\"","utf8","","true",""
"00400c39","memmove","u8\"memmove\"","utf8","","true",""
"00400c41","snprintf","u8\"snprintf\"","utf8","","true",""
"00400c4a","__ctype_b","u8\"__ctype_b\"","utf8","","true",""
"00400c54","usleep","u8\"usleep\"","utf8","","true",""
"00400c5b","getpid","u8\"getpid\"","utf8","","true",""
"00400c62","fgets","u8\"fgets\"","utf8","","true",""
"00400c68","perror","u8\"perror\"","utf8","","true",""
"00400c6f","tcflush","u8\"tcflush\"","utf8","","true",""
"00400c77","tolower","u8\"tolower\"","utf8","","true",""
"00400c7f","feof","u8\"feof\"","utf8","","true",""
"00400c84","strtoul","u8\"strtoul\"","utf8","","true",""
"00400c8c","socket","u8\"socket\"","utf8","","true",""
"00400c93","fflush","u8\"fflush\"","utf8","","true",""
"00400c9a","strncasecmp","u8\"strncasecmp\"","utf8","","true",""
"00400ca6","bzero","u8\"bzero\"","utf8","","true",""
"00400cac","send","u8\"send\"","utf8","","true",""
"00400cb1","strtol","u8\"strtol\"","utf8","","true",""
"00400cb8","accept","u8\"accept\"","utf8","","true",""
"00400cbf","cfsetispeed","u8\"cfsetispeed\"","utf8","","true",""
"00400ccb","fstat","u8\"fstat\"","utf8","","true",""
"00400cd1","fprintf","u8\"fprintf\"","utf8","","true",""
"00400cd9","kill","u8\"kill\"","utf8","","true",""
"00400cde","ffs","u8\"ffs\"","utf8","","true",""
"00400ce2","strcat","u8\"strcat\"","utf8","","true",""
"00400ce9","bind","u8\"bind\"","utf8","","true",""
"00400cee","inet_addr","u8\"inet_addr\"","utf8","","true",""
"00400cf8","setsockopt","u8\"setsockopt\"","utf8","","true",""
"00400d03","cfsetospeed","u8\"cfsetospeed\"","utf8","","true",""
"00400d0f","wait","u8\"wait\"","utf8","","true",""
"00400d14","ferror","u8\"ferror\"","utf8","","true",""
"00400d1b","strstr","u8\"strstr\"","utf8","","true",""
"00400d22","signal","u8\"signal\"","utf8","","true",""
"00400d29","strncmp","u8\"strncmp\"","utf8","","true",""
"00400d31","strncpy","u8\"strncpy\"","utf8","","true",""
"00400d39","strcasecmp","u8\"strcasecmp\"","utf8","","true",""
"00400d44","bcopy","u8\"bcopy\"","utf8","","true",""
"00400d4a","strtok","u8\"strtok\"","utf8","","true",""
"00400d51","memcmp","u8\"memcmp\"","utf8","","true",""
"00400d58","listen","u8\"listen\"","utf8","","true",""
"00400d5f","fork","u8\"fork\"","utf8","","true",""
"00400d64","sscanf","u8\"sscanf\"","utf8","","true",""
"00400d6b","strncat","u8\"strncat\"","utf8","","true",""
"00400d73","fread","u8\"fread\"","utf8","","true",""
"00400d79","__uClibc_main","u8\"__uClibc_main\"","utf8","","true",""
"00400d87","fopen","u8\"fopen\"","utf8","","true",""
"00400d8d","memset","u8\"memset\"","utf8","","true",""
"00400d94","srand","u8\"srand\"","utf8","","true",""
"00400d9a","fclose","u8\"fclose\"","utf8","","true",""
"00400da1","inet_ntoa","u8\"inet_ntoa\"","utf8","","true",""
"00400dab","tcgetattr","u8\"tcgetattr\"","utf8","","true",""
"00400db5","time","u8\"time\"","utf8","","true",""
"00400dba","strcmp","u8\"strcmp\"","utf8","","true",""
